Sale_ID,Employee_ID,Customer_Loyalty,Date
900475,101010,202308,2021-02-23
900169,101009,None,2018-12-15
900461,101011,202490,2018-05-12
900740,101006,None,2024-09-18
900524,101012,202939,2019-06-03
900519,101008,202550,2022-09-26
900679,101002,202775,2023-02-19
900107,101006,202574,2023-10-19
900957,101005,202323,2021-06-08
900873,101011,202246,2021-07-02
900983,101010,None,2023-07-29
900459,101007,None,2021-02-16
900209,101007,None,2020-06-30
900564,101013,202516,2021-12-05
900222,101007,202261,2018-10-27
900418,101005,None,2019-06-23
900591,101010,None,2018-08-17
900979,101005,202825,2020-02-11
900474,101008,202660,2021-02-15
900993,101008,202522,2021-10-07
900976,101005,None,2021-10-30
900313,101014,202513,2021-07-01
900453,101007,202550,2022-07-24
900681,101011,202321,2022-10-11
900618,101010,202822,2021-12-08
900385,101014,202467,2019-01-26
900732,101007,None,2018-10-23
900175,101009,202602,2023-05-24
900599,101004,None,2019-06-03
900287,101001,202160,2021-07-23
900138,101012,202728,2023-03-22
900807,101008,None,2022-07-30
900901,101011,202935,2020-04-12
900246,101003,None,2022-01-16
900267,101005,None,2022-07-08
900280,101014,None,2024-03-10
900146,101002,None,2019-01-09
900795,101005,202149,2023-07-05
900760,101012,202282,2021-01-09
900584,101010,None,2024-10-26
900230,101006,202160,2020-03-02
900574,101009,202630,2018-12-04
900272,101013,202935,2022-12-29
900253,101014,202271,2018-09-22
900433,101003,202169,2019-05-13
900811,101009,202822,2023-12-10
900560,101006,202379,2018-03-24
900404,101007,None,2023-12-28
900965,101001,202219,2022-11-08
900213,101001,None,2023-07-22
900538,101010,None,2020-08-08
900806,101012,202352,2018-04-12
900161,101014,202736,2021-04-09
900623,101002,202845,2021-10-27
900763,101008,202457,2019-08-25
900439,101012,202352,2021-03-03
900871,101004,None,2020-03-12
900450,101009,None,2018-08-19
900994,101008,None,2022-05-28
900821,101014,202796,2019-07-24
900708,101008,None,2019-04-13
900636,101009,202149,2020-10-31
900977,101001,None,2023-05-04
900224,101001,202630,2022-01-17
900611,101011,202915,2021-09-02
900283,101010,None,2024-04-28
900672,101014,202630,2019-08-29
900614,101010,202468,2020-06-15
900421,101005,202675,2022-03-27
900200,101006,None,2021-12-03
900355,101001,202675,2022-01-13
900315,101001,202513,2018-05-09
900391,101001,None,2020-02-27
900145,101014,202271,2021-12-19
900792,101002,202759,2019-03-25
900837,101011,202169,2024-08-28
900321,101014,202522,2020-01-11
900252,101006,202307,2019-08-18
900153,101008,202476,2021-04-10
900865,101010,202709,2021-01-18
900152,101008,202652,2021-07-18
900337,101013,None,2018-09-14
900703,101004,202649,2022-04-01
900625,101004,None,2020-07-23
900818,101009,None,2021-05-07
900717,101009,202788,2024-04-24
900600,101014,None,2021-07-27
900248,101007,None,2022-06-11
900410,101014,202675,2021-12-07
900177,101005,None,2024-06-13
900998,101009,None,2019-11-10
900589,101001,None,2022-04-02
900148,101005,202308,2018-09-18
900798,101004,None,2024-07-18
900790,101006,202590,2024-01-31
900867,101012,202775,2021-01-18
900668,101014,202271,2019-10-29
900928,101013,202574,2024-07-29
900648,101002,202308,2023-11-15
900768,101005,202211,2023-12-23
900484,101003,202576,2022-04-13
900192,101008,202994,2019-08-28
900395,101010,202298,2021-10-01
900622,101009,None,2019-04-13
900571,101005,202164,2023-02-18
900713,101014,202308,2018-12-13
900380,101012,None,2019-12-04
900240,101003,202788,2018-10-18
900562,101011,None,2022-07-04
900458,101014,202131,2020-01-04
900185,101006,202559,2022-08-28
900641,101010,None,2020-06-30
900851,101001,None,2024-10-21
900728,101001,None,2021-01-25
900123,101010,None,2022-06-10
900654,101011,None,2023-11-06
900967,101012,None,2023-08-10
900477,101006,202943,2023-02-23
900204,101013,202505,2019-08-04
900173,101011,None,2021-08-27
900695,101013,202298,2019-05-01
900567,101006,202307,2023-04-06
900894,101005,None,2024-09-14
900431,101006,202728,2023-11-25
900442,101010,None,2019-12-18
900373,101012,None,2023-11-18
900613,101010,202910,2018-11-23
900685,101012,202514,2019-02-14
900909,101011,None,2023-03-10
900630,101011,None,2024-06-22
900201,101004,None,2019-04-22
900569,101005,202759,2020-11-12
900480,101013,None,2018-03-21
900786,101006,None,2024-06-03
900926,101013,None,2022-12-24
900619,101011,None,2020-09-10
900666,101004,None,2022-04-09
900231,101008,None,2020-01-04
900949,101003,202161,2020-10-04
900912,101005,202218,2024-11-05
