isbn,Title,Author,num_pages,publication_date,publisher,genres,Price
0761417125,The White House (Symbols of America),Debra Hess,40,1/1/2004,Cavendish Square Publishing,Juvenile Nonfiction,35.5
0521750342,Numerical Recipes Example Book C++: The Art of Scientific Computing,William T. Vetterling,330,2/7/2002,Cambridge University Press,Computers,11.99
0446677124,The Burden of Proof (Kindle County Legal Thriller #2),Scott Turow,608,12/1/2000,Grand Central Publishing,Fiction,18.5
0736911685,A Wife After God's Own Heart Growth and Study Guide,Elizabeth George,160,1/1/2004,Harvest House Publishers,Christian,34.5
0060515228,Fragile Things: Short Fictions and Wonders,Neil Gaiman,360,9/26/2006,William Morrow,Fantasy,21.0
0140620664,Mansfield Park,Jane Austen,479,5/26/1994,Penguin,Classics,21.0
0810956993,Henri Rousseau: Jungles in Paris,Christopher   Green,230,6/1/2006,Harry N. Abrams,Art,33.0
1572704578,The Labours of Hercules (Hercule Poirot  #27),Agatha Christie,9,7/13/2005,AudioGO,Mystery,36.0
0689865384,Uglies (Uglies  #1),Scott Westerfeld,425,2/8/2005,Simon Pulse,Young Adult,28.0
0316341517,Mythology,Edith Hamilton,497,9/14/1998,Little  Brown and Company,History,33.0
1599869950,The Communist Manifesto,Karl Marx,88,12/26/2005,Filiquarian Publishing  LLC.,Philosophy,27.99
0140444424,The Divine Comedy  Vol. 2: Purgatory,Dante Alighieri,399,5/30/1985,Penguin Classics,Classics,14.5
0060529571,The Big Bing: Black Holes of Time Management  Gaseous Executive Bodies  Exploding Careers  and Other Theories on the Origins of the Business Universe,Stanley Bing,368,1/3/2006,Harper Business,Business,17.0
0143037145,The Memory Keeper's Daughter,Kim Edwards,401,5/30/2006,Penguin Books,Fiction,26.0
0099453231,Hide-and-Seek with Angels: The Life of J.M. Barrie,Lisa Chaney,448,5/16/2006,Arrow,Biography,29.99
0192837621,The Confidence-Man,Herman Melville,361,11/11/1999,Oxford University Press,Fiction,39.5
1565124820,Hemingway & Bailey's Bartending Guide to Great American Writers,Mark Bailey,97,10/13/2006,Algonquin Books,Nonfiction,35.99
0571214266,The Greek Islands,Lawrence Durrell,332,4/8/2002,Faber & Faber,Travel,25.0
0688090257,Worlds Enough and Time (Worlds #3),Joe Haldeman,332,5/1/1992,William Morrow & Company,Science Fiction,26.0
0563504072,The Hitchhiker's Guide to the Galaxy: The Quintessential Phase (Hitchhiker's Guide: Radio Play  #5),Douglas Adams,3,6/20/2005,BBC Audiobooks,Science Fiction,22.5
2290328316,Jojo's Bizarre Adventure  Tome 18: Death Thirteen (Stardust Crusaders  #6),Hirohiko Araki,188,6/27/2003,J'ai Lu,Sequential Art,20.99
1563895684,Transmetropolitan  Vol. 3: Year of the Bastard,Warren Ellis,144,9/1/1999,Vertigo,Sequential Art,39.5
1565041917,The Eternal Champion (Eternal Champion  #1),Michael Moorcock,484,2/1/1996,White Wolf Games Studio,Fantasy,39.99
1573229865,The Dream of Scipio,Iain Pears,416,6/3/2003,Riverhead Books,Historical,34.5
0805212078,The Zürau Aphorisms,Franz Kafka,160,12/26/2006,Schocken,Philosophy,29.99
0552133256,Strata,Terry Pratchett,285,4/22/1988,Corgi,Fantasy,24.0
0517168952,The Crossing,Cormac McCarthy,425,4/28/1996,Random House Value Publishing,Fiction,19.5
0764538136,CliffsNotes on Dostoevsky's The Brothers Karamazov,James Lamar Roberts,96,1/10/2003,Cliffs Notes,Classics,23.5
1401205003,Fables  Vol. 6: Homelands,Bill Willingham,190,1/27/2006,Vertigo,Sequential Art,24.99
0440151880,A Man's Protection,Jayne Castle,186,12/31/1982,Dell Publishing Company,Romance,24.5
0761545646,The Bard's Tale: Prima's Official Strategy Guide,Craig Keller,144,10/26/2004,Prima Games,Games,35.99
0060667419,Embracing the Love of God: The Path and Promise of Christian Life,James Brian Smith,192,6/28/1995,HarperOne,Nonfiction,11.5
0349117624,Jennifer Government,Max Barry,352,2/5/2004,Abacus,Fiction,19.5
0765311712,Earthbound,Logan Swanson,223,4/16/2005,Tor Books,Horror,27.5
0140447806,The Consolation of Philosophy,Boethius,192,11/25/1999,Penguin Classics,Philosophy,19.5
0380000369,Rings of Ice,Piers Anthony,191,11/1/1987,Avon Books,Science Fiction,22.5
0141184280,Good Soldier Svejk And His Fortunes In The World,Jaroslav Hašek,752,10/3/2000,Penguin Classic,Fiction,22.99
0312872798,Lurulu,Jack Vance,204,2/6/2007,Tor Books,Science Fiction,13.99
0805390472,The Feynman Lectures on Physics Vol 2,Richard P. Feynman,512,9/1/2005,Pearson Education,Science,10.0
0446605166,The Reality Dysfunction Part 2: Expansion (Night's Dawn 1),Peter F. Hamilton,572,8/1/1997,Aspect,Science Fiction,33.5
0385264739,Children of the Alley,Naguib Mahfouz,464,10/18/1996,Anchor,Fiction,33.99
1423100611,The Sword of Cortés (Pirates of the Caribbean: Jack Sparrow  #4),Rob Kidd,122,10/1/2006,Disney Press,Fantasy,32.5
0820324930,As Eve Said to the Serpent: On Landscape  Gender  and Art,Rebecca Solnit,240,3/17/2003,University of Georgia Press,Art,11.99
2207254410,L'Échiquier du mal,Dan Simmons,999,6/8/2003,Denoël,Horror,31.0
0226204197,Bengal Nights,Mircea Eliade,184,4/1/1995,University of Chicago Press,Classics,34.5
0006479758,Executive Orders (Jack Ryan  #8),Tom Clancy,1273,1/1/1998,HarperCollins,Fiction,27.99
0060511133,Whirlpool,Elizabeth Lowell,448,10/31/2006,Avon,Thriller,11.99
1594480117,The Zanzibar Chest,Aidan Hartley,496,8/3/2004,Riverhead Books,Cultural,30.5
0451412109,Vulcan's Forge (Philip Mercer  #1),Jack Du Brul,372,12/6/2005,Berkley Books,Thriller,13.99
0553582755,One Door Away from Heaven,Dean Koontz,681,10/29/2002,Bantam,Horror,18.5
0450417395,Misery,Stephen King,370,11/1/1988,New English Library,Horror,16.99
0226182002,Awake in the Dark: The Best of Roger Ebert,Roger Ebert,512,9/15/2006,University of Chicago Press,Culture,27.0
0345492781,Air Gear  Vol. 1 (Air Gear  #1),Oh! Great,224,7/25/2006,Del Rey,Sequential Art,35.0
0764525905,Personal Finance for Dummies,Eric Tyson,454,8/1/2003,John Wiley & Sons,Economics,37.0
0618313664,Fourth of July Mice!,Bethany Roberts,32,5/24/2004,Clarion Books,Childrens,22.5
0192837680,The Eclogues and The Georgics,Virgil,180,9/2/1999,Oxford University Press,Poetry,13.99
0307383415,Dreams from My Father: A Story of Race and Inheritance,Barack Obama,442,1/9/2007,Crown,Nonfiction,33.5
0141186070,The Log from the Sea of Cortez,John Steinbeck,288,1/18/2001,Penguin Books Ltd,Nonfiction,11.5
0140447946,The Iliad,Homer,462,1/30/2003,Penguin Classics,Classics,14.5
0292701322,The Burning Plain and Other Stories,Juan Rulfo,191,1/1/1971,University of Texas Press,Short Stories,38.0
0786886811,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,Nigella Lawson,384,9/1/2005,Hachette Books,Food and Drink,16.5
0802449247,Little Pilgrim's Progress: From John Bunyan's Classic,Helen L. Taylor,336,2/1/2006,Moody Publishers,Christian,27.5
0451530179,Of Human Bondage,W. Somerset Maugham,684,1/2/2007,Signet,Classics,12.99
081912141X,Outsider,Albert Camus,110,1/1/1983,University Press of America,Classics,20.99
0160729947,More Readings From One Man's Wilderness: The Journals of Richard L. Proenneke  1974-1980,Richard Proenneke,496,1/5/2006,National Park Service,Nonfiction,10.0
0439244196,Holes (Holes  #1),Louis Sachar,233,9/2/2000,Scholastic,Young Adult,17.5
0802138888,The Eternal Frontier: An Ecological History of North America and Its Peoples,Tim Flannery,432,4/17/2002,Grove Press,History,10.0
155709103X,George Washington's Rules of Civility & Decent Behavior in Company and Conversation (Little Books of Wisdom),George Washington,30,8/1/1989,Applewood Books,History,35.99
0872205541,The Trial and Death of Socrates (Euthyphro  Apology  Crito  Phaedo (death scene only)),Plato,58,6/1/2001,Hackett Publishing Company,Philosophy,22.5
014044257X,Philosophical Dictionary,Voltaire,400,9/27/1979,Penguin Classics,Philosophy,21.99
0879074493,Gertrud The Great Of Helfta: Spiritual Exercises,Gertrude the Great,165,11/1/1989,Cistercian Publications,Religion,26.5
0553282808,Mitla Pass,Leon Uris,495,10/1/1989,Bantam,Historical,28.0
0091898242,Darwin's Watch (The Science of Discworld  #3),Terry Pratchett,344,8/3/2006,Ebury Press,Fantasy,29.5
4091256481,犬夜叉 28,Rumiko Takahashi,192,12/5/2002,小学館,Sequential Art,24.0
0807218731,The Cat in the Hat and Other Dr. Seuss Favorites,Dr. Seuss,61,10/14/2003,Listening Library (Audio),Childrens,39.0
155783198X,William Goldman: Four Screenplays,William Goldman,504,5/1/2000,Applause Books,Culture,39.99
0684844648,Across the River and into the Trees,Ernest Hemingway,272,4/15/1998,Scribner,Fiction,22.0
0231138768,Nietzche and Philosophy,Gilles Deleuze,256,5/16/2006,Columbia University Press,Philosophy,12.99
0393971678,The Peloponnesian War: A New Translation  Backgrounds  Interpretations,Thucydides,554,7/17/1998,W. W. Norton & Company,History,14.99
0679734503,Crime and Punishment,Fyodor Dostoyevsky,564,3/2/1993,Vintage Classics,Classics,34.0
0521402409,All the Sad Young Men (Works of F. Scott Fitzgerald),F. Scott Fitzgerald,504,1/29/2007,Cambridge University Press,Classics,17.0
0330412442,Bosnia: A Short History,Noel Malcolm,384,8/1/2002,Pan MacMillan,History,24.99
0553565923,Against the Odds: Tales of Achievement,L.M. Montgomery,246,11/1/1994,Bantam Starfire,Short Stories,14.5
0922915997,Big Dead Place: Inside the Strange and Menacing World of Antarctica,Nicholas Johnson,260,6/1/2005,Feral House,Nonfiction,31.99
0751503894,The Physician (Cole Family Trilogy  #1),Noah Gordon,720,7/1/2001,Little  Brown Book Group,Historical,10.5
0962247723,PS I Love You Baby Collection,Lynda Milligan,79,12/31/1990,Possibilities,Crafts,25.5
0156659751,The Nonexistent Knight & The Cloven Viscount,Italo Calvino,272,3/28/1977,Mariner Books,Fiction,20.0
1416908161,Godless,Pete Hautman,208,11/1/2005,Simon  Schuster Books for Young Readers,Young Adult,37.0
0520229134,Infections and Inequalities: The Modern Plagues,Paul Farmer,424,2/23/2001,University of California Press,Nonfiction,10.99
3485009024,Ein Gentleman für Mma Ramotswe (No. 1 Ladies' Detective Agency  #2),Alexander McCall Smith,238,2/1/2002,Nymphenburger,Mystery,12.99
0312155611,Kiss & Tell,Alain de Botton,258,5/15/1997,Picador,Fiction,28.99
0891901639,Battle for the Planet of the Apes,David Gerrold,158,6/1/1973,Award Books,Science Fiction,10.99
0394800273,Snow,Roy McKie,72,10/12/1962,Random House,Childrens,26.0
037572737X,American Tabloid (Underworld USA #1),James Ellroy,592,4/24/2001,Vintage/Random House (NY),Fiction,30.5
0312982011,Abandoned Prayers: The Incredible True Story of Murder  Obsession and Amish Secrets,Gregg Olsen,399,6/16/2003,St. Martin's True Crime,Crime,22.0
0451528832,The Secret Garden,Frances Hodgson Burnett,281,7/1/2003,Signet,Classics,38.0
0440420598,The Pizza Monster (Olivia Sharp  Agent for Secrets #1),Marjorie Weinman Sharmat,80,5/10/2005,Yearling,Childrens,22.99
0140444556,Netochka Nezvanova,Fyodor Dostoyevsky,176,8/29/1985,Penguin Classics,Classics,12.5
0141185015,Wolf Willow,Wallace Stegner,306,12/1/2000,Penguin Classics,Autobiography,37.0
1557046832,Memoirs of a Geisha: A Portrait of the Film,David        James,144,10/20/2005,Newmarket Press,Nonfiction,39.5
0307264890,The Name of the Rose (Everyman's Library (Cloth)),Umberto Eco,560,9/26/2006,Everyman's Library,Fiction,19.0
0743299639,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,320,11/14/2006,Simon  Schuster,History,29.5
0441014836,Cygnet (Cygnet  #1-2),Patricia A. McKillip,406,3/6/2007,Ace Books,Fantasy,38.5
0872201929,Meditations on First Philosophy,René Descartes,59,10/1/1993,Hackett Publishing Company  Inc.,Philosophy,26.5
0811216748,Laughter in the Dark,Vladimir Nabokov,292,9/17/2006,New Directions,Fiction,16.5
0664226108,The Gospel According to Tolkien: Visions of the Kingdom in Middle-Earth,Ralph C. Wood,169,10/31/2003,Westminster John Knox Press,Nonfiction,21.5
0425136981,Shadow Fires,Leigh Nichols,528,6/1/1993,Berkley,Horror,20.99
0515134457,Blue Moon (Anita Blake  Vampire Hunter  #8),Laurell K. Hamilton,418,9/24/2002,Berkley Books,Fantasy,31.0
0679779159,How Proust Can Change Your Life,Alain de Botton,208,4/28/1998,Vintage,Philosophy,38.5
1596060247,Inside Job,Connie Willis,99,6/1/2005,Subterranean Press,Fantasy,10.5
0786852976,The Meanest Doll in the World (Doll People  #2),Ann M. Martin,304,5/15/2005,Little  Brown Books for Young Readers,Fantasy,11.0
0553213601,Cyrano de Bergerac,Edmond Rostand,208,11/1/1950,Bantam Classics,Classics,32.0
0425199320,Trojan Odyssey (Dirk Pitt  #17),Clive Cussler,463,12/1/2004,G.P. Putnam's Sons,Fiction,39.0
0380973995,Shards of a Broken Crown (The Serpentwar Saga  #4),Raymond E. Feist,417,4/1/1998,AvonEos,Fantasy,16.5
0976234963,Hoodwinked,Quentin Carter,277,9/1/2005,Triple Crown Publications,Urban,32.5
0618574816,Tolkien and the Great War: The Threshold of Middle-earth,John Garth,398,6/1/2005,Mariner Books,Biography,26.0
0060816228,Missing Mom,Joyce Carol Oates,464,8/22/2006,Ecco,Fiction,10.99
0439862698,Ghosthunters and the Muddy Monster of Doom! (Ghosthunters  #4),Cornelia Funke,176,4/1/2007,Chicken House,Fantasy,24.99
0099478935,Shake Hands with the Devil,Roméo Dallaire,563,2/3/2005,Arrow,Nonfiction,37.5
0140193707,Holy Madness: The Shock Tactics Radical Teachings Crazy Wise Adepts Holy Fools Rascal Gurus,Georg Feuerstein,320,10/1/1992,Penguin Books,Spirituality,39.5
0061140538,Remind Me Again Why I Need A Man,Claudia Carroll,384,5/1/2007,Harper,Womens Fiction,13.5
0425186709,Mission of Honor (Tom Clancy's Op-Center  #9),Jeff Rovin,432,6/4/2002,Berkley Books,Fiction,36.0
1419150014,The Suppliant Maidens/The Persians/Seven against Thebes/Prometheus Bound,Aeschylus,208,6/17/2004,Kessinger Publishing,Classics,23.99
0843947462,The House That Jack Built,Graham Masterton,385,6/1/2000,Leisure Books,Horror,28.0
038533947X,Beyond Reach (Grant County  #6),Karin Slaughter,404,7/31/2007,Delacorte Press,Mystery,35.0
3787307672,Wissenschaft der Logik: Die Lehre Vom Begriff (1816),Georg Wilhelm Friedrich Hegel,337,1/1/1994,F. Meiner,Philosophy,27.5
0099448920,The Rings of Saturn,W.G. Sebald,304,7/1/1995,Vintage,Fiction,23.0
0870679945,Whoreson,Donald Goines,320,1/1/2000,Holloway House,Fiction,12.99
1840220600,Selected Works of the Brontë Sisters: Jane Eyre / Villette / Wuthering Heights / Agnes Grey / The Tenant of Wildfell Hall,Charlotte Brontë,1488,1/5/1998,Wordsworth Classics,Classics,19.99
0385336101,Intuition,Allegra Goodman,385,3/13/2007,Dial Press,Fiction,38.5
0385484364,Night Beat: A Shadow History of Rock & Roll,Mikal Gilmore,496,2/1/1999,Knopf Publishing Group,Music,20.5
0679753761,Far Afield,Susanna Kaysen,352,4/19/1994,Vintage,Fiction,11.5
0763620491,Alice's Adventures in Wonderland,Lewis Carroll,208,3/1/2003,Candlewick Press,Classics,12.0
1904919529,Three Men in a Boat: To Say Nothing of the Dog,Jerome K. Jerome,272,3/1/2005,Collectors Library,Classics,22.5
0140437282,Barnaby Rudge,Charles Dickens,744,2/27/2003,Penguin Books,Classics,17.5
0307265781,Whitethorn Woods,Maeve Binchy,339,3/6/2007,Knopf Publishing Group,Fiction,10.99
0060789565,Dubliners,James Joyce,8,5/10/2005,Caedmon,Classics,16.99
0312010443,How to Write a Damn Good Novel: A Step-by-Step No Nonsense Guide to Dramatic Storytelling,James N. Frey,192,12/15/1987,St. Martin's Press,Language,36.0
0375821821,Flush,Carl Hiaasen,263,9/13/2005,Alfred A. Knopf Books for Young Readers,Young Adult,16.5
0307283798,Trickster's Choice (Daughter of the Lioness  #1),Tamora Pierce,12,12/13/2005,Listening Library,Fantasy,39.5
1932664599,Cities in Dust (Wasteland #1),Antony Johnston,160,4/20/2010,Oni Press,Sequential Art,25.99
1576751724,Getting Things Done When You Are Not in Charge,Geoffrey M. Bellman,176,8/27/2001,Berrett-Koehler Publishers,Business,28.99
0262570211,Theory of Colours,Johann Wolfgang von Goethe,468,3/15/1970,MIT Press,Art,11.5
0486435504,The Wisdom of Life,Arthur Schopenhauer,96,3/8/2004,Dover Publications,Philosophy,24.99
0143039709,The Custom of the Country,Edith Wharton,370,9/28/2006,Penguin Classics,Classics,28.0
0345434900,The Real James Herriot: A Memoir of My Father,Jim Wight,371,5/1/2001,Ballantine Books,Biography,15.99
0689840330,Silver on the Tree (The Dark is Rising  #5),Susan Cooper,274,12/1/2000,Margaret K. McElderry Books,Fantasy,13.0
1586215981,3rd Degree,James Patterson,7,3/1/2004,Hachette Audio,Mystery,30.5
0345434811,The Last Full Measure (The Civil War Trilogy  #3),Jeff Shaara,640,5/2/2000,Ballantine Books,Historical,21.5
0822001101,CliffsNotes on Faulkner's Absalom  Absalom!,James Lamar Roberts,64,2/28/1964,Cliffs Notes,Reference,11.99
1400079373,Company,Max Barry,338,3/13/2007,Vintage,Fiction,13.5
0060525118,Size 12 Is Not Fat (Heather Wells  #1),Meg Cabot,345,12/27/2005,William Morrow Paperbacks,Womens Fiction,22.0
0802135781,Sexing the Cherry,Jeanette Winterson,167,8/10/1998,Grove Press,Fiction,37.5
0345354648,Five Patients,Michael Crichton,204,1/13/1989,Ballantine Books,Nonfiction,26.5
0099428385,I Don't Know How She Does It (Kate Reddy  #1),Allison Pearson,368,5/1/2003,Vintage,Fiction,34.0
0345450396,Flinx's Folly (Pip & Flinx #9),Alan Dean Foster,288,9/28/2004,Del Rey,Science Fiction,19.5
1590525930,Dominion (Ollie Chandler #2),Randy Alcorn,603,5/1/2006,Multnomah Books,Christian Fiction,25.0
0312853025,The Demon Princes  Volume One: The Star King  The Killing Machine  The Palace of Love,Jack Vance,446,4/15/1997,Orb Books,Science Fiction,34.5
0743496728,Nineteen Minutes,Jodi Picoult,440,3/5/2007,Atria Books,Fiction,17.5
1400033829,Who Will Run the Frog Hospital?,Lorrie Moore,160,4/13/2004,Vintage,Fiction,35.0
0553285556,Who's To Blame (Sweet Valley High  #66),Francine Pascal,152,6/1/1990,Bantam,Young Adult,10.0
0312278462,Cities of the Red Night,William S. Burroughs,332,5/4/2001,Picador,Fiction,19.99
0140422153,The Complete Poems,William Blake,1072,11/24/1977,Penguin Classics,Poetry,25.99
0691099502,The Complete Works: The Revised Oxford Translation  Vol. 1,Aristotle,1757,9/1/1984,Bollingen/Princeton University Press (NJ),Philosophy,27.5
0805242090,Betraying Spinoza: The Renegade Jew Who Gave Us Modernity,Rebecca Goldstein,304,5/30/2006,Schocken,Philosophy,14.5
0152025650,Pinky Pye (The Pyes  #2),Eleanor Estes,192,9/1/2000,HMH Books for Young Readers,Fiction,32.0
0805076239,The Second World War: A Complete History,Martin  Gilbert,928,6/1/2004,Holt McDougal,History,16.5
0143037579,Fear and Trembling,Søren Kierkegaard,160,5/30/2006,Penguin Books,Philosophy,35.0
0060593199,When We Meet Again (Effingtons  #10),Victoria Alexander,384,5/24/2005,Avon,Romance,11.5
0375823611,Ve  perro ¡Ve!,P.D. Eastman,24,2/25/2003,Random House Para Ninos,Childrens,15.5
1853995908,Ficciones,Jorge Luis Borges,232,12/9/1999,BCP/Duckworth Publishing,Fiction,17.99
0060598840,Love Overboard,Janet Evanovich,244,2/1/2005,HarperTorch,Romance,19.99
0385602057,The Devil in the White City Murder  Magic and Madness at the Fair that Changed America,Erik Larson,464,3/3/2003,Doubleday,Nonfiction,39.0
1928832431,Aquinas's Shorter Summa: Saint Thomas's Own Concise Version of His Summa Theologica,Thomas Aquinas,412,12/1/2005,Sophia Institute Press,Philosophy,10.0
0060521228,The Whipping Boy,Sid Fleischman,90,4/15/2003,Greenwillow Books,Historical,11.99
0684854287,Merde Encore!: More of the Real French You Were Never Taught at School,Geneviève,104,12/9/1998,Gallery Books,Cultural,21.5
0486249441,Mozart's Don Giovanni (the Dover Opera Libretto Series),Wolfgang Amadeus Mozart,128,10/1/1985,Dover Publications,Music,28.99
0764585681,Shakespeare's Hamlet,William Shakespeare,240,5/29/2000,Cliffs Notes,Classics,28.99
0553566407,A Kiss Before Dying (Sweet Valley High  #122),Francine Pascal,197,2/1/1996,Bantam,Young Adult,36.0
0385333900,Jailbird,Kurt Vonnegut Jr.,310,1/12/1999,Dial Press Trade Paperback,Fiction,38.0
3442448964,Die Naschkatzen,Jennifer Crusie,480,4/1/2001,Goldmann Verlag,Romance,17.5
0805377956,Health: The Basics (Donatelle Series),Rebecca J. Donatelle,480,3/9/2006,Benjamin-Cummings Publishing Company,Textbooks,27.5
0345481267,The Best Stories of Fyodor Dostoevsky,Fyodor Dostoyevsky,352,7/26/2005,Modern Library,Short Stories,29.99
0060652853,Readings for Meditation and Reflection,C.S. Lewis,176,1/5/1996,HarperOne,Christian,23.0
0385486804,Into the Wild,Jon Krakauer,207,1/20/1997,Anchor Books,Nonfiction,10.0
0141439823,Robinson Crusoe,Daniel Defoe,286,3/27/2003,Penguin Classics,Classics,15.5
0765352052,The Hidden Family (The Merchant Princes  #2),Charles Stross,309,5/2/2006,Tor Fantasy,Fantasy,37.99
9500426544,La falsificadora,Jennifer Crusie,420,9/1/2005,Planeta Publishing,Romance,37.0
0712678867,Maverick: The Success Story Behind the World's Most Unusual Workplace,Ricardo Semler,336,9/6/2001,Random House,Business,29.5
037307316X,Flirting with Danger,Linda Turner,253,12/1/1989,Silhouette Books,Fiction,12.5
0140276610,The Consolations of Philosophy,Alain de Botton,272,3/1/2001,Penguin,Philosophy,31.0
0812575237,Legends 2 (Legends 1  Volume 2of3),Robert Silverberg,379,11/1/1999,Tor Books,Fantasy,29.99
0142004200,The Life of Graham Greene  Vol. 1: 1904-1939,Norman Sherry,816,9/7/2004,Penguin Books,Biography,16.5
0871209993,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,192,11/15/2004,ASCD,Education,23.99
0143104934,Shahnameh: The Persian Book of Kings,Abolqasem Ferdowsi,886,3/1/2007,Penguin,Poetry,38.99
074347788X,Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier,Stephen E. Ambrose,592,10/6/2003,Simon & Schuster,History,33.99
0268018499,Treatise on Happiness,Thomas Aquinas,224,1/1/1984,University of Notre Dame Press,Philosophy,12.5
0552152188,The Seven Daughters Of Eve,Bryan Sykes,368,7/1/2002,Corgi,Science,13.5
1859843832,Unacknowledged Legislation: Writers in the Public Sphere,Christopher Hitchens,430,1/1/2002,Verso,Writing,31.0
1401300464,Pledged: The Secret Life of Sororities,Alexandra Robbins,384,4/14/2004,Hyperion,Nonfiction,37.0
1887953795,Secrets of the Scorpion,Jed Carleton,96,4/1/2003,Alderac Entertainment Group (AEG),Games,20.5
1590385810,Fablehaven (Fablehaven  #1),Brandon Mull,351,6/7/2006,Shadow Mountain,Fantasy,13.0
0130352993,Physics: for Scientists and Engineers with Modern Physics,Paul M. Fishbane,1440,6/9/2004,Benjamin-Cummings Publishing Company,Science,37.99
1585424838,2012: The Return of Quetzalcoatl,Daniel Pinchbeck,408,5/4/2006,Tarcher,Nonfiction,16.5
0747236380,The Servants of Twilight,Leigh Nichols,499,5/16/1991,Headline Feature,Horror,33.5
0812972015,Candide: or  Optimism,Voltaire,144,10/11/2005,Modern Library,Classics,32.0
0199210705,The Meaning of Life,Terry Eagleton,187,5/1/2007,Oxford University Press  USA,Philosophy,28.99
0887061990,Experimental Phenomenology: An Introduction,Don Ihde,155,6/30/1986,State University of New York Press,Philosophy,38.0
0679737316,Selected Speeches and Writings,Abraham Lincoln,515,2/18/1992,Vintage Books USA,History,32.0
0915811235,Secret of the Peaceful Warrior,Dan Millman,32,12/28/1992,HJ Kramer,Childrens,37.99
0060277408,The Secret Garden Cookbook: Recipes Inspired by Frances Hodgson Burnett's The Secret Garden,Amy Cotler,128,3/19/1999,Festival,Food and Drink,15.99
0316831301,Strangers from a Different Shore: A History of Asian Americans,Ronald Takaki,640,9/23/1998,Back Bay Books,History,26.99
1569312109,The Return of Lum  Volume 5: Feudal Furor (Urusei Yatsura  #6),Rumiko Takahashi,200,12/6/1997,Viz Media,Sequential Art,11.0
1405034149,Kushiel's Avatar (Phèdre's Trilogy  #3),Jacqueline Carey,702,9/17/2004,Tor,Fantasy,35.5
0425187713,The Magical Worlds of Lord of the Rings: The Amazing Myths  Legends and Facts Behind the Masterpiece,David Colbert,208,10/1/2002,Berkley Trade,Fantasy,17.99
2290318043,Jojo's Bizarre Adventure  Tome 4: Dans la salle du dragon à deux têtes (Phantom Blood  #4),Hirohiko Araki,180,4/29/2002,J'ai Lu,Sequential Art,36.99
0743487583,Frankenstein  or the Modern Prometheus,Mary Wollstonecraft Shelley,324,5/1/2004,Pocket Books,Classics,22.0
0786014202,Thicker Than Water (Louis Kincaid  #4),P.J. Parrish,380,1/1/2003,Pinnacle,Mystery,15.5
006062213X,Shadow of the Almighty: The Life and Testament of Jim Elliot,Elisabeth Elliot,272,9/29/2009,HarperOne,Biography,20.5
0141185600,Invitation to a Beheading,Vladimir Nabokov,192,8/3/2015,Penguin Books Ltd,Fiction,16.0
0801883946,Right Stuff  Wrong Sex: America's First Women in Space Program,Margaret A. Weitekamp,256,10/26/2005,Johns Hopkins University Press,Nonfiction,11.5
006076287X,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,336,5/3/2005,William Morrow Paperbacks,Business,36.5
1587671166,The Illustrated Stephen King Trivia Book,Brian James Freeman,404,5/1/2005,Cemetery Dance Publications,Horror,20.0
